inventory_id,name,channel,registry_state,enabled,adapter_or_fixture,runtime_chain,manual_production_approval,real_continuous_runs,capability_status,evidence
RES-005,隧道建设（中英文）,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
RES-006,中国安全科学学报,SAFETY,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
RES-007,OpenAlex API,DIGITAL,CANDIDATE,false,OpenAlexPaperAdapter,not-registered-and-key-required,false,false,PARTIAL,papers/source.py
RES-008,Crossref REST API,DIGITAL,CANDIDATE,false,CrossrefPaperAdapter-lookup,not-registered,false,false,PARTIAL,papers/source.py
RES-009,中国知网,DIGITAL,CANDIDATE,false,manual-or-licensed-only,none,false,false,NOT_APPLICABLE,source policy prohibits bypass
RES-010,万方数据,DIGITAL,CANDIDATE,false,manual-or-licensed-only,none,false,false,NOT_APPLICABLE,source policy prohibits bypass
RES-011,中国土木工程学会,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
RES-012,中国建筑业协会,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
ENT-001,中国交建,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
ENT-002,中国建筑,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
ENT-003,中国中铁,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
ENT-004,中国铁建,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
ENT-005,蜀道集团,DIGITAL,CANDIDATE,false,ShudaoDigitalCaseAdapter-direct-PDF,not-registered,false,false,PARTIAL,digital_cases/source.py
ENT-006,华为行业数字化,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
ENT-007,广联达,DIGITAL,CANDIDATE,false,VendorProductAdapter+fixture,not-registered-source-inactive,false,false,FIXTURE_ONLY,technology_products/source.py
ENT-008,大疆行业应用,DIGITAL,CANDIDATE,false,VendorProductAdapter+fixture,not-registered-source-inactive,false,false,FIXTURE_ONLY,technology_products/source.py
ENT-009,三一集团,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
MED-001,中国公路网,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
MED-002,科技日报,DIGITAL,CANDIDATE,false,none,none,false,false,MISSING,source_registry.csv
MED-003,Engineering News-Record,BOTH,CANDIDATE,false,none,none,false,false,MISSING,international source not approved
RUNTIME-FIXED-49,运行库固定测试来源49条,TEST,ACTIVE,true,MEM-or-PDF-fixture,fixture-only,false,false,FIXTURE_ONLY,pretest DB query
RUNTIME-INTEGRATION-5,运行库集成测试来源5条,TEST,ACTIVE,true,no-enabled-connector,test-created,false,false,FIXTURE_ONLY,pretest DB query
